transaction_id,card_id,entry_station,exit_station,entry_time,exit_time,travel_duration_minutes,fare_amount,card_balance,passenger_type,metro_line
TXN100000039,DMRC178208,Kalkaji Mandir,Green Park,2025-10-06 07:50:00,2025-10-06 08:46:00,56,40,856,Student,Blue Line
TXN100000040,DMRC260776,Hauz Khas,Kashmere Gate,2025-10-04 17:51:00,2025-10-04 18:54:00,63,41,331,Adult,Red Line
TXN100000041,DMRC242838,Rajiv Chowk,Huda City Centre,2025-10-06 07:04:00,2025-10-06 07:58:00,54,31,934,Adult,Green Line
TXN100000042,DMRC224928,Green Park,Noida Sector 62,2025-10-03 05:52:00,2025-10-03 06:42:00,50,53,97,Senior,Green Line
TXN100000043,DMRC825017,Airport,AIIMS,2025-10-04 17:39:00,2025-10-04 17:57:00,18,53,548,Senior,Green Line
TXN100000044,DMRC541016,Green Park,AIIMS,2025-10-04 16:09:00,2025-10-04 17:21:00,72,27,649,Adult,Green Line
TXN100000045,DMRC861660,New Delhi,Chandni Chowk,2025-10-06 18:10:00,2025-10-06 18:53:00,43,60,403,Student,Violet Line
TXN100000046,DMRC969540,AIIMS,Green Park,2025-10-06 18:16:00,2025-10-06 18:30:00,14,45,828,Senior,Red Line
TXN100000047,DMRC209401,Dwarka,AIIMS,2025-10-05 16:25:00,2025-10-05 16:54:00,29,47,77,Senior,Red Line
TXN100000048,DMRC521409,Airport,Kalkaji Mandir,2025-10-06 07:08:00,2025-10-06 07:50:00,42,30,153,Adult,Yellow Line
TXN100000049,DMRC932781,AIIMS,Botanical Garden,2025-10-07 07:04:00,2025-10-07 07:37:00,33,30,259,Student,Yellow Line
TXN100000050,DMRC817500,New Delhi,Kashmere Gate,2025-10-04 18:20:00,2025-10-04 18:51:00,31,58,562,Student,Blue Line
TXN100000051,DMRC561315,Botanical Garden,INA,2025-10-06 07:39:00,2025-10-06 08:59:00,80,15,818,Adult,Yellow Line
TXN100000052,DMRC201958,Vaishali,INA,2025-10-05 19:28:00,2025-10-05 19:38:00,10,29,263,Adult,Violet Line
TXN100000053,DMRC536514,Kalkaji Mandir,Noida Sector 62,2025-10-01 18:41:00,2025-10-01 19:58:00,77,44,719,Student,Red Line
TXN100000054,DMRC960707,New Delhi,Botanical Garden,2025-10-02 15:11:00,2025-10-02 15:54:00,43,51,817,Student,Violet Line
TXN100000055,DMRC186567,Airport,Botanical Garden,2025-10-04 09:46:00,2025-10-04 10:12:00,26,20,536,Adult,Yellow Line
TXN100000056,DMRC107276,AIIMS,Huda City Centre,2025-10-07 19:03:00,2025-10-07 20:19:00,76,53,124,Adult,Red Line
TXN100000057,DMRC976395,Kashmere Gate,INA,2025-10-05 18:10:00,2025-10-05 19:07:00,57,42,759,Adult,Blue Line
TXN100000058,DMRC805959,Vaishali,INA,2025-10-02 10:53:00,2025-10-02 11:35:00,42,47,63,Student,Yellow Line
TXN100000059,DMRC411310,AIIMS,Kashmere Gate,2025-10-07 07:21:00,2025-10-07 07:58:00,37,30,594,Student,Yellow Line
TXN100000060,DMRC675631,Kalkaji Mandir,Noida Sector 62,2025-10-06 06:51:00,2025-10-06 07:16:00,25,54,17,Senior,Yellow Line
TXN100000061,DMRC786125,Rajiv Chowk,Huda City Centre,2025-10-01 18:23:00,2025-10-01 19:30:00,67,12,199,Adult,Red Line
TXN100000062,DMRC728955,Huda City Centre,AIIMS,2025-10-01 23:41:00,2025-10-02 00:36:00,55,22,284,Senior,Green Line
TXN100000063,DMRC259543,Dwarka,Chandni Chowk,2025-10-05 12:35:00,2025-10-05 13:21:00,46,45,336,Adult,Green Line
TXN100000064,DMRC508678,Vaishali,Kashmere Gate,2025-10-04 07:05:00,2025-10-04 07:18:00,13,31,42,Student,Green Line
TXN100000065,DMRC442123,Rajiv Chowk,Chandni Chowk,2025-10-02 16:40:00,2025-10-02 17:36:00,56,56,600,Student,Violet Line
TXN100000066,DMRC216269,Noida Sector 62,Kashmere Gate,2025-10-02 01:04:00,2025-10-02 01:20:00,16,10,679,Adult,Blue Line
TXN100000067,DMRC474917,Chandni Chowk,INA,2025-10-03 16:53:00,2025-10-03 17:23:00,30,20,60,Student,Red Line
TXN100000068,DMRC456709,Chandni Chowk,Rajiv Chowk,2025-10-03 13:51:00,2025-10-03 14:51:00,60,50,353,Senior,Green Line
TXN100000069,DMRC331400,Botanical Garden,Rajiv Chowk,2025-10-06 22:52:00,2025-10-07 00:04:00,72,13,79,Adult,Violet Line
TXN100000070,DMRC846993,Noida Sector 62,Hauz Khas,2025-10-07 16:24:00,2025-10-07 16:59:00,35,55,994,Senior,Blue Line
TXN100000071,DMRC198173,Airport,Hauz Khas,2025-10-06 13:27:00,2025-10-06 14:17:00,50,39,63,Student,Blue Line
TXN100000072,DMRC999368,INA,Green Park,2025-10-05 22:33:00,2025-10-05 23:40:00,67,43,988,Student,Green Line
TXN100000073,DMRC697609,Connaught Place,AIIMS,2025-10-07 09:06:00,2025-10-07 10:16:00,70,23,228,Adult,Yellow Line
TXN100000074,DMRC396969,Rajiv Chowk,INA,2025-10-01 13:54:00,2025-10-01 14:05:00,11,20,666,Adult,Red Line
TXN100000075,DMRC472737,Huda City Centre,Airport,2025-10-01 18:17:00,2025-10-01 18:55:00,38,49,505,Adult,Violet Line
TXN100000076,DMRC828152,Noida Sector 62,Airport,2025-10-06 07:53:00,2025-10-06 09:06:00,73,10,227,Senior,Yellow Line
TXN100000077,DMRC658686,Botanical Garden,INA,2025-10-02 06:56:00,2025-10-02 08:09:00,73,41,827,Senior,Yellow Line
TXN100000078,DMRC420665,Green Park,New Delhi,2025-10-07 07:32:00,2025-10-07 08:13:00,41,15,616,Senior,Blue Line
TXN100000079,DMRC416371,Noida Sector 62,Nehru Place,2025-10-05 16:42:00,2025-10-05 17:22:00,40,40,281,Adult,Green Line
TXN100000080,DMRC460857,Chandni Chowk,Vaishali,2025-10-07 06:28:00,2025-10-07 07:35:00,67,39,48,Senior,Violet Line
TXN100000081,DMRC247053,New Delhi,Nehru Place,2025-10-01 16:40:00,2025-10-01 16:54:00,14,25,128,Student,Blue Line
TXN100000082,DMRC602131,Vaishali,INA,2025-10-02 08:57:00,2025-10-02 09:18:00,21,57,892,Adult,Blue Line
TXN100000083,DMRC546890,New Delhi,Botanical Garden,2025-10-02 14:02:00,2025-10-02 14:33:00,31,33,653,Senior,Red Line
TXN100000084,DMRC186176,Botanical Garden,Kashmere Gate,2025-10-02 13:52:00,2025-10-02 14:10:00,18,25,892,Senior,Yellow Line
TXN100000085,DMRC727442,Chandni Chowk,Airport,2025-10-03 05:39:00,2025-10-03 06:30:00,51,31,331,Student,Violet Line
TXN100000086,DMRC341594,Airport,Connaught Place,2025-10-02 19:18:00,2025-10-02 20:04:00,46,15,760,Adult,Red Line
TXN100000087,DMRC207579,Chandni Chowk,Green Park,2025-10-05 09:16:00,2025-10-05 10:16:00,60,25,821,Student,Yellow Line
TXN100000088,DMRC334377,Vaishali,Rajiv Chowk,2025-10-06 16:00:00,2025-10-06 16:46:00,46,57,739,Adult,Violet Line
TXN100000089,DMRC129629,Connaught Place,Botanical Garden,2025-10-07 11:04:00,2025-10-07 12:22:00,78,18,944,Adult,Green Line
TXN100000090,DMRC326685,Huda City Centre,Green Park,2025-10-03 22:26:00,2025-10-03 23:23:00,57,38,209,Student,Blue Line
TXN100000091,DMRC397680,Dwarka,Nehru Place,2025-10-04 06:16:00,2025-10-04 07:07:00,51,60,128,Adult,Yellow Line
TXN100000092,DMRC566166,AIIMS,Kashmere Gate,2025-10-02 17:36:00,2025-10-02 18:17:00,41,16,947,Adult,Blue Line
TXN100000093,DMRC967762,Nehru Place,Green Park,2025-10-05 10:36:00,2025-10-05 11:17:00,41,45,502,Senior,Violet Line
TXN100000094,DMRC201279,Botanical Garden,New Delhi,2025-10-02 18:44:00,2025-10-02 19:26:00,42,34,959,Adult,Red Line
TXN100000095,DMRC769573,Kashmere Gate,Botanical Garden,2025-10-04 07:25:00,2025-10-04 08:29:00,64,26,327,Senior,Blue Line
TXN100000096,DMRC449297,Connaught Place,Huda City Centre,2025-10-03 10:34:00,2025-10-03 11:40:00,66,48,481,Student,Blue Line
TXN100000097,DMRC267323,Airport,Kalkaji Mandir,2025-10-03 23:13:00,2025-10-04 00:08:00,55,37,237,Senior,Blue Line
TXN100000098,DMRC701058,Rajiv Chowk,Kashmere Gate,2025-10-03 04:51:00,2025-10-03 05:04:00,13,51,615,Student,Blue Line
TXN100000099,DMRC874160,New Delhi,Botanical Garden,2025-10-02 04:22:00,2025-10-02 05:13:00,51,32,120,Adult,Blue Line
TXN100000100,DMRC631177,Hauz Khas,Huda City Centre,2025-10-03 17:09:00,2025-10-03 17:25:00,16,38,768,Senior,Green Line
TXN100000101,DMRC423217,Kalkaji Mandir,Anand Vihar,2025-10-02 19:26:00,2025-10-02 20:41:00,75,26,588,Student,Blue Line
TXN100000102,DMRC288766,AIIMS,Airport,2025-10-06 19:01:00,2025-10-06 19:35:00,34,55,757,Senior,Yellow Line
TXN100000103,DMRC250598,Chandni Chowk,Kalkaji Mandir,2025-10-06 15:44:00,2025-10-06 16:47:00,63,18,361,Student,Yellow Line
TXN100000104,DMRC590611,Nehru Place,Huda City Centre,2025-10-01 07:35:00,2025-10-01 08:36:00,61,48,441,Adult,Blue Line
TXN100000105,DMRC889541,Nehru Place,Rajiv Chowk,2025-10-06 16:04:00,2025-10-06 16:41:00,37,53,80,Adult,Green Line
TXN100000106,DMRC115370,New Delhi,Vaishali,2025-10-02 10:37:00,2025-10-02 11:30:00,53,30,830,Student,Violet Line
TXN100000107,DMRC425670,Kalkaji Mandir,Vaishali,2025-10-05 17:17:00,2025-10-05 17:29:00,12,35,952,Senior,Red Line
TXN100000108,DMRC997078,AIIMS,Anand Vihar,2025-10-05 15:42:00,2025-10-05 16:38:00,56,11,129,Senior,Red Line
TXN100000109,DMRC945989,Hauz Khas,Chandni Chowk,2025-10-05 05:58:00,2025-10-05 07:00:00,62,45,333,Student,Red Line
TXN100000110,DMRC867232,New Delhi,Dwarka,2025-10-02 08:57:00,2025-10-02 09:44:00,47,49,531,Student,Yellow Line
TXN100000111,DMRC418802,Anand Vihar,Hauz Khas,2025-10-05 11:05:00,2025-10-05 12:18:00,73,49,931,Adult,Green Line
TXN100000112,DMRC800897,Noida Sector 62,Kalkaji Mandir,2025-10-06 18:02:00,2025-10-06 18:19:00,17,60,992,Senior,Yellow Line
TXN100000113,DMRC824911,Huda City Centre,Anand Vihar,2025-10-06 06:52:00,2025-10-06 08:12:00,80,38,864,Senior,Yellow Line
TXN100000114,DMRC357437,Rajiv Chowk,Dwarka,2025-10-04 07:41:00,2025-10-04 08:57:00,76,27,522,Student,Yellow Line
TXN100000115,DMRC827796,Noida Sector 62,Kashmere Gate,2025-10-06 19:18:00,2025-10-06 20:08:00,50,59,909,Adult,Violet Line
TXN100000116,DMRC529925,Huda City Centre,Kalkaji Mandir,2025-10-07 17:34:00,2025-10-07 17:50:00,16,41,889,Adult,Violet Line
TXN100000117,DMRC599964,Kalkaji Mandir,Anand Vihar,2025-10-03 23:27:00,2025-10-03 23:53:00,26,20,930,Senior,Green Line
TXN100000118,DMRC762960,Rajiv Chowk,New Delhi,2025-10-02 16:39:00,2025-10-02 17:23:00,44,56,732,Senior,Yellow Line
TXN100000119,DMRC372887,AIIMS,Rajiv Chowk,2025-10-06 05:19:00,2025-10-06 05:54:00,35,38,630,Student,Blue Line
TXN100000120,DMRC691496,Green Park,Kalkaji Mandir,2025-10-05 15:49:00,2025-10-05 16:54:00,65,20,924,Senior,Violet Line
TXN100000121,DMRC443270,New Delhi,Chandni Chowk,2025-10-02 06:05:00,2025-10-02 07:09:00,64,37,583,Senior,Blue Line
TXN100000122,DMRC540540,Botanical Garden,Nehru Place,2025-10-01 16:00:00,2025-10-01 17:06:00,66,45,137,Student,Green Line
TXN100000123,DMRC188845,Noida Sector 62,Vaishali,2025-10-05 08:27:00,2025-10-05 09:24:00,57,39,500,Adult,Green Line
TXN100000124,DMRC650132,Vaishali,Kashmere Gate,2025-10-06 19:14:00,2025-10-06 20:11:00,57,10,797,Student,Red Line
TXN100000125,DMRC699231,Dwarka,AIIMS,2025-10-03 20:06:00,2025-10-03 20:53:00,47,16,112,Adult,Green Line
TXN100000126,DMRC830241,Green Park,Noida Sector 62,2025-10-05 16:18:00,2025-10-05 17:38:00,80,36,873,Adult,Green Line
TXN100000127,DMRC578035,Botanical Garden,AIIMS,2025-10-01 12:18:00,2025-10-01 13:07:00,49,37,386,Student,Green Line
TXN100000128,DMRC142936,Hauz Khas,Green Park,2025-10-01 08:18:00,2025-10-01 08:53:00,35,29,598,Student,Violet Line
TXN100000129,DMRC717627,Kashmere Gate,Kalkaji Mandir,2025-10-02 08:51:00,2025-10-02 09:43:00,52,24,34,Student,Yellow Line
TXN100000130,DMRC593855,Hauz Khas,Airport,2025-10-05 07:31:00,2025-10-05 07:58:00,27,37,455,Senior,Red Line
TXN100000131,DMRC761612,Green Park,Chandni Chowk,2025-10-05 04:07:00,2025-10-05 05:09:00,62,47,142,Senior,Violet Line
TXN100000132,DMRC942719,Noida Sector 62,Dwarka,2025-10-05 09:36:00,2025-10-05 10:21:00,45,19,779,Senior,Red Line
TXN100000133,DMRC362312,Huda City Centre,Botanical Garden,2025-10-05 22:09:00,2025-10-05 23:04:00,55,20,557,Senior,Red Line
TXN100000134,DMRC302612,Green Park,Anand Vihar,2025-10-06 02:44:00,2025-10-06 04:02:00,78,18,838,Adult,Red Line
TXN100000135,DMRC699976,Airport,New Delhi,2025-10-01 08:20:00,2025-10-01 09:20:00,60,20,980,Student,Blue Line
TXN100000136,DMRC485255,Chandni Chowk,Kashmere Gate,2025-10-01 05:39:00,2025-10-01 06:58:00,79,58,769,Adult,Red Line
TXN100000137,DMRC662703,Hauz Khas,Rajiv Chowk,2025-10-05 18:47:00,2025-10-05 19:30:00,43,39,830,Senior,Blue Line
TXN100000138,DMRC364902,Nehru Place,AIIMS,2025-10-06 20:42:00,2025-10-06 20:57:00,15,53,152,Student,Blue Line
TXN100000139,DMRC760915,Chandni Chowk,AIIMS,2025-10-02 16:50:00,2025-10-02 17:01:00,11,47,677,Student,Green Line
TXN100000140,DMRC198829,Chandni Chowk,Noida Sector 62,2025-10-02 06:05:00,2025-10-02 06:48:00,43,11,543,Senior,Green Line
TXN100000141,DMRC349474,Botanical Garden,Rajiv Chowk,2025-10-04 21:46:00,2025-10-04 22:14:00,28,32,129,Adult,Yellow Line
TXN100000142,DMRC442169,Noida Sector 62,AIIMS,2025-10-02 18:49:00,2025-10-02 19:00:00,11,20,877,Senior,Yellow Line
TXN100000143,DMRC648182,Kashmere Gate,AIIMS,2025-10-01 08:20:00,2025-10-01 09:25:00,65,13,495,Senior,Red Line
TXN100000144,DMRC521575,Vaishali,Botanical Garden,2025-10-05 20:18:00,2025-10-05 21:19:00,61,51,868,Senior,Violet Line
TXN100000145,DMRC727878,Connaught Place,Nehru Place,2025-10-05 11:58:00,2025-10-05 13:14:00,76,21,746,Senior,Yellow Line
TXN100000146,DMRC846607,New Delhi,Connaught Place,2025-10-01 15:43:00,2025-10-01 16:03:00,20,34,639,Senior,Violet Line
TXN100000147,DMRC448006,Kashmere Gate,Botanical Garden,2025-10-06 06:44:00,2025-10-06 08:01:00,77,37,878,Student,Yellow Line
TXN100000148,DMRC887578,Noida Sector 62,Airport,2025-10-04 17:14:00,2025-10-04 18:10:00,56,55,135,Adult,Red Line
TXN100000149,DMRC737773,Rajiv Chowk,Anand Vihar,2025-10-07 23:47:00,2025-10-08 00:20:00,33,49,640,Senior,Blue Line
TXN100000150,DMRC969291,Vaishali,Anand Vihar,2025-10-06 17:12:00,2025-10-06 17:55:00,43,21,599,Adult,Green Line
TXN100000151,DMRC373356,Airport,Kashmere Gate,2025-10-07 19:15:00,2025-10-07 19:36:00,21,16,575,Senior,Red Line
TXN100000152,DMRC366515,New Delhi,INA,2025-10-04 10:29:00,2025-10-04 11:16:00,47,12,40,Student,Red Line
TXN100000153,DMRC356194,Vaishali,Botanical Garden,2025-10-04 21:33:00,2025-10-04 21:49:00,16,50,116,Senior,Red Line
TXN100000154,DMRC813229,AIIMS,Botanical Garden,2025-10-07 09:40:00,2025-10-07 10:01:00,21,15,525,Senior,Blue Line
TXN100000155,DMRC924111,Vaishali,Hauz Khas,2025-10-05 07:51:00,2025-10-05 08:45:00,54,24,373,Adult,Violet Line
TXN100000156,DMRC546240,Connaught Place,Airport,2025-10-03 05:12:00,2025-10-03 06:07:00,55,40,874,Senior,Green Line
TXN100000157,DMRC692013,Vaishali,INA,2025-10-05 07:17:00,2025-10-05 08:31:00,74,55,808,Adult,Red Line
TXN100000158,DMRC892829,Kalkaji Mandir,Nehru Place,2025-10-03 10:55:00,2025-10-03 12:14:00,79,33,218,Senior,Blue Line
TXN100000159,DMRC901307,Kashmere Gate,Rajiv Chowk,2025-10-03 07:46:00,2025-10-03 08:52:00,66,27,977,Senior,Blue Line
TXN100000160,DMRC582543,New Delhi,Huda City Centre,2025-10-06 21:35:00,2025-10-06 22:18:00,43,56,875,Senior,Yellow Line
TXN100000161,DMRC174274,Dwarka,Kalkaji Mandir,2025-10-04 15:08:00,2025-10-04 16:10:00,62,35,170,Student,Red Line
TXN100000162,DMRC392072,Connaught Place,Green Park,2025-10-05 18:49:00,2025-10-05 19:37:00,48,14,251,Student,Violet Line
TXN100000163,DMRC214965,Botanical Garden,New Delhi,2025-10-03 21:31:00,2025-10-03 22:46:00,75,28,377,Student,Violet Line
TXN100000164,DMRC942736,Kalkaji Mandir,Rajiv Chowk,2025-10-05 07:58:00,2025-10-05 09:16:00,78,27,505,Senior,Yellow Line
TXN100000165,DMRC898130,New Delhi,AIIMS,2025-10-02 01:54:00,2025-10-02 03:04:00,70,39,62,Senior,Red Line
TXN100000166,DMRC230215,Anand Vihar,Connaught Place,2025-10-06 06:36:00,2025-10-06 07:32:00,56,19,370,Adult,Green Line
TXN100000167,DMRC494499,Kalkaji Mandir,Kashmere Gate,2025-10-03 08:49:00,2025-10-03 09:57:00,68,45,588,Senior,Yellow Line
TXN100000168,DMRC958112,Botanical Garden,Green Park,2025-10-04 18:07:00,2025-10-04 18:42:00,35,30,203,Senior,Yellow Line
TXN100000169,DMRC614589,Nehru Place,New Delhi,2025-10-06 08:05:00,2025-10-06 08:37:00,32,31,256,Student,Yellow Line
TXN100000170,DMRC425884,Huda City Centre,New Delhi,2025-10-05 17:28:00,2025-10-05 17:46:00,18,47,523,Adult,Blue Line
TXN100000171,DMRC608197,Green Park,Huda City Centre,2025-10-02 06:02:00,2025-10-02 06:14:00,12,26,640,Student,Blue Line
TXN100000172,DMRC624887,Dwarka,Connaught Place,2025-10-04 13:43:00,2025-10-04 14:16:00,33,19,476,Student,Red Line
TXN100000173,DMRC464420,Hauz Khas,INA,2025-10-07 10:45:00,2025-10-07 10:56:00,11,24,427,Adult,Yellow Line
TXN100000174,DMRC807871,Chandni Chowk,Noida Sector 62,2025-10-05 19:18:00,2025-10-05 20:18:00,60,60,854,Student,Blue Line
TXN100000175,DMRC486744,Anand Vihar,Hauz Khas,2025-10-06 14:08:00,2025-10-06 14:23:00,15,49,488,Student,Green Line
TXN100000176,DMRC825430,Dwarka,Rajiv Chowk,2025-10-03 16:07:00,2025-10-03 16:51:00,44,30,539,Adult,Violet Line
TXN100000177,DMRC517055,AIIMS,New Delhi,2025-10-01 21:27:00,2025-10-01 22:44:00,77,36,280,Senior,Blue Line
TXN100000178,DMRC806948,Nehru Place,Airport,2025-10-02 10:16:00,2025-10-02 11:14:00,58,25,931,Student,Red Line
TXN100000179,DMRC109119,Rajiv Chowk,Kashmere Gate,2025-10-06 06:13:00,2025-10-06 06:49:00,36,53,259,Senior,Red Line
TXN100000180,DMRC818927,Kalkaji Mandir,Green Park,2025-10-06 19:03:00,2025-10-06 19:26:00,23,57,448,Student,Red Line
TXN100000181,DMRC503738,Anand Vihar,Rajiv Chowk,2025-10-01 22:37:00,2025-10-01 23:18:00,41,54,763,Senior,Violet Line
TXN100000182,DMRC727759,Chandni Chowk,Kalkaji Mandir,2025-10-05 06:24:00,2025-10-05 06:49:00,25,45,528,Student,Blue Line
TXN100000183,DMRC543349,Chandni Chowk,INA,2025-10-07 18:05:00,2025-10-07 19:23:00,78,37,810,Adult,Green Line
TXN100000184,DMRC250570,Rajiv Chowk,AIIMS,2025-10-04 04:05:00,2025-10-04 05:19:00,74,29,516,Student,Yellow Line
TXN100000185,DMRC529915,Chandni Chowk,Airport,2025-10-06 16:15:00,2025-10-06 17:30:00,75,49,232,Student,Violet Line
TXN100000186,DMRC297114,Rajiv Chowk,Dwarka,2025-10-01 19:10:00,2025-10-01 20:14:00,64,52,378,Senior,Yellow Line
TXN100000187,DMRC279308,Connaught Place,Kalkaji Mandir,2025-10-07 08:41:00,2025-10-07 09:58:00,77,12,249,Senior,Violet Line
TXN100000188,DMRC606874,Noida Sector 62,Kashmere Gate,2025-10-06 09:15:00,2025-10-06 09:32:00,17,12,191,Senior,Yellow Line
TXN100000189,DMRC813244,Hauz Khas,Anand Vihar,2025-10-02 05:59:00,2025-10-02 06:18:00,19,50,692,Senior,Red Line
TXN100000190,DMRC217596,Kashmere Gate,Chandni Chowk,2025-10-02 12:07:00,2025-10-02 13:05:00,58,42,962,Senior,Yellow Line
TXN100000191,DMRC222587,Dwarka,Kalkaji Mandir,2025-10-02 19:48:00,2025-10-02 20:16:00,28,21,386,Senior,Blue Line
TXN100000192,DMRC754754,Anand Vihar,Airport,2025-10-03 19:30:00,2025-10-03 20:44:00,74,59,388,Student,Red Line
TXN100000193,DMRC163509,Kashmere Gate,New Delhi,2025-10-07 07:23:00,2025-10-07 08:12:00,49,59,650,Senior,Blue Line
TXN100000194,DMRC628097,Huda City Centre,Vaishali,2025-10-04 16:04:00,2025-10-04 16:22:00,18,12,855,Student,Red Line
TXN100000195,DMRC457497,New Delhi,AIIMS,2025-10-07 07:54:00,2025-10-07 09:06:00,72,24,753,Senior,Green Line
TXN100000196,DMRC330038,AIIMS,Dwarka,2025-10-07 09:48:00,2025-10-07 10:06:00,18,24,487,Senior,Green Line
